1,Administrador,C‚dula de Ciudadan¡a,987654321,3001234567,hals_93@hotmail.es,Calle Falsa 123,Admin,2000-06-24,25,Masculino,Famisanar,Administrador,No Aplica,,123456789 ,Prueba,7777777777,SI,
2,Moder,C‚dula de Ciudadan¡a,222222222222222,,Prueba@hotmail.com,Calle 5 33333,Moder,2003-03-03,22,Femenino,EPM (Empresas P£blicas de Medell¡n),Moderador,No Aplica,,123456789 ,Nombre Persona,9999999999,SI,
3,Usuario,,999999999,,Prueba2@gmail.com,,User,,,,,Estudiante,,,123456789 ,,,SI,
4,Usuario Prueba,C‚dula de Ciudadan¡a,12345678,,test@test.com,Direcci¢n de prueba,testuser,1990-01-01,33,Masculino,EPS Prueba,Estudiante,,,test123456,1234567890,0987654321,SI,
5,Test Usuario Seis,C‚dula de Ciudadan¡a,66666666,,test6@test.com,Direcci¢n de prueba,testuser6,1990-01-01,35,Masculino,Salud M¡a,Administrador,No Aplica,,test123   ,Persona,3007777777,SI,
6,Docente,C‚dula de Ciudadan¡a,111111111111111,,docentepred@gmail.com,Calle docente 123,Docente,1998-12-14,26,Masculino,Sura,Docente,,,123456789 ,3333333333,8888888888,SI,
7,Prueba Formulario,C‚dula de Ciudadan¡a,444444444444444,,pruebaform@prediversa.com,Calle prueba 123,PruebaF,2004-07-13,21,Femenino,Salud M¡a,Acudiente,,,123456789 ,2222222222,0000000000,SI,
8,Usuario Test Correcci¢n,Tarjeta de Identidad,9999999999,3001111111,test.fix@gmail.com,Calle Fix 123,TestFix,1990-01-01,35,Masculino,Salud Total,Estudiante,CondiciÇün MÇ¸dica,,123456789 ,Familiar Test,3009876543,SI,
9,Administrados,Tarjeta de Identidad,988377366366355,7635244263,prueba3@gmail.com,Calle Admin 2,Admin2,2000-06-03,25,Femenino,Compensar,Administrador,Condici¢n M‚dica,Prueba m‚dica,987654321 ,Nombre persona,8277645526,NO,
10,Prueba correo,C‚dula de Ciudadan¡a,936462799384766,8376525424,haroluna@gmail.com,Calle prueba 321,User2,1997-05-09,28,Masculino,Salud M¡a,Estudiante,Condici¢n Sicol¢gica,condicion 2,123456789 ,Otro contacto,8764252738,SI,
11,Mderados,Tarjeta de Identidad,653222554333222,9874663555,jdhdgvtsys@prediversa.com,Calle falsa 2,Moder2,2003-04-06,22,Masculino,Famisanar,Moderador,No Aplica,,0987654321,jdgfyaauujJ,8376362552,SI,
12,Otro Usuario,Tarjeta de Identidad,038773666888383,8664535424,otroprueba@prediversa.com,Otra calle,User3,2005-06-15,20,Masculino,Famisanar,Acudiente,No Aplica,,0987654321,emergencia ,3847651567,SI,
13,Prueba xyz,C‚dula de Ciudadan¡a,999999999999999,9999999999,papadevioletta@gmail.com,Carrera prueba 123,JoseM,1997-06-17,28,Masculino,Salud M¡a,Administrador,No Aplica,,987654321 ,Prueba contacto,8888888888,SI,
14,Prueba profe,C‚dula de Ciudadan¡a,837462525273737,8474656883,juliana.fajardo92@gmail.com,Prueba direcci¢n,Profe92,2003-07-01,22,Femenino,Capresoca,Administrador,No Aplica,,p6Mj$EMp  ,Contacto emergencia,8476594984,SI,
